iter	RMSE
0	0.01291267379
1	0.01288343604
2	0.01285464482
3	0.01283028762
4	0.01279597973
5	0.0127702706
6	0.01274871243
7	0.01271962229
8	0.01269856824
9	0.01267439759
10	0.01265350461
11	0.01263160906
12	0.0126136445
13	0.01259727382
14	0.01257975015
15	0.01256016379
16	0.01254091355
17	0.01252444595
18	0.01250380292
19	0.01248954923
20	0.01247821912
21	0.01246539714
22	0.01245105351
23	0.01244029659
24	0.01242346991
25	0.01241284835
26	0.01240206636
27	0.01239075944
28	0.01237493489
29	0.01236611894
30	0.01235752586
31	0.01234641507
32	0.01233707282
33	0.01232667162
34	0.01231384232
35	0.01230429478
36	0.01229565497
37	0.01228820797
38	0.01227523696
39	0.01226679808
40	0.01225392535
41	0.01224354591
42	0.01223650929
43	0.0122256711
44	0.012217714
45	0.01221052586
46	0.01220163941
47	0.01219381213
48	0.01218924016
49	0.01217939761
50	0.01217264271
51	0.01216391267
52	0.01215830163
53	0.01214571759
54	0.01214067246
55	0.01213171068
56	0.01212608557
57	0.01211326076
58	0.01211023843
59	0.01210373126
60	0.0120968238
61	0.01208555596
62	0.01208325606
63	0.01207349183
64	0.01206487173
65	0.01205549645
66	0.01205380888
67	0.01204420471
68	0.01203535537
69	0.01202654889
70	0.01201920614
71	0.01201595959
72	0.01200464307
73	0.01199669533
74	0.01199200368
75	0.01198289923
76	0.01197795326
77	0.01197221327
78	0.01196452379
79	0.01195218302
80	0.01194702957
81	0.01193915018
82	0.01193630418
83	0.01192958382
84	0.01192168339
85	0.01190982526
86	0.01190044168
87	0.01189797684
88	0.01189080815
89	0.0118825513
90	0.01187680711
91	0.01187108002
92	0.01186484586
93	0.01185974372
94	0.01185380772
95	0.01184930923
96	0.01184497759
97	0.01184022254
98	0.01183576592
99	0.01182944881
100	0.01182240126
101	0.01181905244
102	0.01181030761
103	0.01180420051
104	0.01179775731
105	0.01179240364
106	0.01178330567
107	0.01177936101
108	0.01177193074
109	0.01176279039
110	0.01175509295
111	0.01174575089
112	0.01173716485
113	0.01173085605
114	0.01172397713
115	0.01171967506
116	0.01171424802
117	0.01170567856
118	0.01169657365
119	0.01169268893
120	0.01168527557
121	0.01168094516
122	0.01167364687
123	0.01166984597
124	0.01166565655
125	0.01165942092
126	0.0116511733
127	0.01164497
128	0.0116400513
129	0.01163518838
130	0.01163093395
131	0.01162055292
132	0.01161693198
133	0.01161204211
134	0.01160616667
135	0.01160467616
136	0.01159862017
137	0.01158832294
138	0.01158109859
139	0.01157782913
140	0.01157348216
141	0.01156914364
142	0.01156447355
143	0.01155973646
144	0.01155412179
145	0.01154904075
146	0.01154387403
147	0.01153803578
148	0.01153053976
149	0.01152615818
150	0.01152059158
151	0.01151613634
152	0.01150985911
153	0.01150206908
154	0.01149560939
155	0.01148976011
156	0.01148107745
157	0.01147169224
158	0.01146366636
159	0.01145561469
160	0.01145369431
161	0.01144990061
162	0.0114464735
163	0.01144362989
164	0.01144025537
165	0.01143276803
166	0.01142744311
167	0.01142229418
168	0.01141678307
169	0.01140720646
170	0.0114009874
171	0.01139527729
172	0.01138982581
173	0.01138401265
174	0.01137793167
175	0.0113730225
176	0.01136704263
177	0.01136168099
178	0.0113548667
179	0.01134859427
180	0.01134293018
181	0.0113354532
182	0.01133126104
183	0.01132620616
184	0.0113194743
185	0.01131615135
186	0.01131209654
187	0.01130489849
188	0.01129755302
189	0.01129185604
190	0.01128765674
191	0.01128081682
192	0.01127611537
193	0.0112699519
194	0.01126434465
195	0.01125557735
196	0.01124698192
197	0.0112408208
198	0.01123474071
199	0.01122460679
200	0.01122113299
201	0.01121814734
202	0.01121469467
203	0.0112062461
204	0.01119895664
205	0.01119239066
206	0.01118391252
207	0.01117174916
208	0.01116379537
209	0.01115905942
210	0.01114815428
211	0.01114200056
212	0.0111369305
213	0.01113009669
214	0.01112669986
215	0.01111977188
216	0.01111411073
217	0.01110669679
218	0.01110199001
219	0.01109628697
220	0.01109057762
221	0.01108528445
222	0.01108177685
223	0.01107476022
224	0.01106954729
225	0.01106410305
226	0.01105781528
227	0.01105146315
228	0.01104703534
229	0.01104004429
230	0.01103398627
231	0.01102945178
232	0.01102440151
233	0.01101858817
234	0.01101448347
235	0.01100519962
236	0.01099717531
237	0.01099414104
238	0.01098751756
239	0.01098107889
240	0.01097632051
241	0.01097004209
242	0.01096551076
243	0.01096216913
244	0.01095871492
245	0.01095097793
246	0.01094518022
247	0.01093952164
248	0.01093456797
249	0.01093179757
250	0.01092936392
251	0.01092310312
252	0.01091793722
253	0.01091195025
254	0.01090264877
255	0.01089799596
256	0.01089346184
257	0.01088824156
258	0.01087640846
259	0.01087305343
260	0.01086467912
261	0.01085856581
262	0.01085129171
263	0.0108469341
264	0.01084291247
265	0.01083724019
266	0.01083260014
267	0.01082403815
268	0.01081977054
269	0.01081575788
270	0.01081163269
271	0.01080710243
272	0.01079850092
273	0.01079306334
274	0.01078739507
275	0.01077949531
276	0.01077557885
277	0.01077017689
278	0.0107629733
279	0.0107581225
280	0.01075450405
281	0.01074782397
282	0.01074500536
283	0.01073966173
284	0.01073586848
285	0.01073048711
286	0.0107258466
287	0.01072249137
288	0.01071825316
289	0.0107144554
290	0.01071101267
291	0.01070752995
292	0.01070474922
293	0.01070191391
294	0.01069142502
295	0.01068975194
296	0.01068481605
297	0.01068188716
298	0.01067691689
299	0.01066990848
