iter	RMSE
0	0.009765365591
1	0.009731303528
2	0.009694341742
3	0.009667884709
4	0.009639236637
5	0.009604000619
6	0.009576148564
7	0.009549068539
8	0.0095195221
9	0.009495611803
10	0.009468390045
11	0.009443348989
12	0.009421726143
13	0.009403407677
14	0.009379175938
15	0.009358763058
16	0.009326720166
17	0.009308818888
18	0.009293541776
19	0.009275234736
20	0.009255548531
21	0.00924009657
22	0.009220698391
23	0.009208884286
24	0.00918954351
25	0.009170148708
26	0.009157318901
27	0.00914283741
28	0.009128001311
29	0.00911584914
30	0.009108823198
31	0.009099993426
32	0.009088415058
33	0.009073068041
34	0.009052099722
35	0.00904141761
36	0.009024567288
37	0.009014036321
38	0.008995212785
39	0.008987898897
40	0.008972882892
41	0.008965679979
42	0.00895249514
43	0.008943079183
44	0.008936079533
45	0.008924171126
46	0.008910161145
47	0.008906319301
48	0.008899919623
49	0.008883674015
50	0.008872711141
51	0.008858150953
52	0.008850871813
53	0.008835906919
54	0.008829983037
55	0.008822332825
56	0.008814821924
57	0.008805462909
58	0.008799321558
59	0.008793930859
60	0.008787634843
61	0.008780686885
62	0.008775255042
63	0.008771582972
64	0.008765600931
65	0.008759447207
66	0.008755731535
67	0.008749880976
68	0.008747161387
69	0.008739479193
70	0.008734971061
71	0.008729431459
72	0.008720989416
73	0.008715159962
74	0.008707197661
75	0.008698840598
76	0.008694578572
77	0.008691695594
78	0.008685294135
79	0.008676070469
80	0.008665354825
81	0.008657979649
82	0.008648277608
83	0.008644297292
84	0.00864033253
85	0.00863707234
86	0.008633827761
87	0.008628207722
88	0.008625244101
89	0.008620174476
90	0.008617038113
91	0.008614402687
92	0.008607895079
93	0.008601850681
94	0.008596804358
95	0.008592112088
96	0.008586072151
97	0.00858198016
98	0.008576124905
99	0.008571590938
100	0.008566753954
101	0.008561987527
102	0.008557987792
103	0.008553947401
104	0.008546196659
105	0.008544355234
106	0.008539355186
107	0.008535667258
108	0.008532126813
109	0.008530191719
110	0.008525389034
111	0.00851983841
112	0.008515415509
113	0.008510563516
114	0.008506774597
115	0.008503445352
116	0.008497744836
117	0.008494042587
118	0.00849056066
119	0.008487103546
120	0.00847964592
121	0.008476314156
122	0.008474666209
123	0.008468540403
124	0.00846611107
125	0.008462298216
126	0.008457161752
127	0.0084521561
128	0.008446456976
129	0.00844021246
130	0.008437014075
131	0.008429183515
132	0.008425622321
133	0.008423762732
134	0.008415720473
135	0.008410391498
136	0.008407974898
137	0.008404720201
138	0.0083990459
139	0.008393188276
140	0.008388841466
141	0.008380964664
142	0.008376577709
143	0.008374424112
144	0.008371161885
145	0.008366114081
146	0.00836259731
147	0.008356768423
148	0.008354206425
149	0.008349802562
150	0.008346041987
151	0.008339591365
152	0.008335281417
153	0.008332070862
154	0.008328894753
155	0.008323775523
156	0.008321343311
157	0.008315064865
158	0.008307670276
159	0.008302957817
160	0.00830112741
161	0.008297902791
162	0.008291992561
163	0.008288075653
164	0.008284874686
165	0.008282619396
166	0.008278831656
167	0.00827495842
168	0.008271502667
169	0.008264499295
170	0.008260670879
171	0.008256826992
172	0.008251690344
173	0.008247103439
174	0.008245195242
175	0.00824253486
176	0.008240162937
177	0.008237252879
178	0.008234830907
179	0.008229634218
180	0.008226253028
181	0.00822208329
182	0.008219688483
183	0.008215495062
184	0.008211183137
185	0.008208810734
186	0.008205781852
187	0.008201559948
188	0.008195562226
189	0.008190097143
190	0.008185673326
191	0.008182820651
192	0.008180735429
193	0.008176947566
194	0.00817328719
195	0.008170554308
196	0.008166944858
197	0.008161676464
198	0.008157774858
199	0.008152762287
200	0.008148674058
201	0.008145398064
202	0.008143037667
203	0.008135995119
204	0.008130021708
205	0.008123293657
206	0.008119041724
207	0.008114281981
208	0.00811085575
209	0.008107574151
210	0.008103905686
211	0.008098572879
212	0.008094017675
213	0.008091089756
214	0.008086511187
215	0.008084148057
216	0.008081722102
217	0.008077397433
218	0.008071048119
219	0.008064957091
220	0.008061852589
221	0.008057494907
222	0.008051171142
223	0.008048749847
224	0.008046493741
225	0.008042640572
226	0.008039475157
227	0.008035383612
228	0.008029919675
229	0.008025831132
230	0.00802251203
231	0.008018618675
232	0.008015964841
233	0.008012764386
234	0.008007314237
235	0.00800210976
236	0.007999164268
237	0.007994609054
238	0.007991839383
239	0.007989233748
240	0.007985364589
241	0.007981404447
242	0.007977286741
243	0.007974061153
244	0.00797061963
245	0.007966630953
246	0.007964151736
247	0.007959991248
248	0.007954756353
249	0.007951197085
250	0.007947222187
251	0.007944744235
252	0.007942330228
253	0.007940510911
254	0.007937360218
255	0.00793363735
256	0.007929150277
257	0.00792644397
258	0.00792208338
259	0.007919095378
260	0.007915744885
261	0.00791315513
262	0.007910473519
263	0.007904522884
264	0.007902562314
265	0.007896363562
266	0.007894704759
267	0.007891263574
268	0.007888919941
269	0.007883763373
270	0.007878776447
271	0.007875679188
272	0.007873001329
273	0.007870846489
274	0.007868051829
275	0.007865357493
276	0.007861455518
277	0.007857678401
278	0.007853747653
279	0.007851492869
280	0.007847982073
281	0.007844772004
282	0.007842188699
283	0.007840261897
284	0.007837526444
285	0.007833338885
286	0.007829863756
287	0.007825335182
288	0.007819910032
289	0.00781433293
290	0.007812529137
291	0.007811045641
292	0.007807522774
293	0.007803467786
294	0.007799521852
295	0.007793877432
296	0.007789202933
297	0.00778583511
298	0.007783744677
299	0.007778685087
